"hl_no","kn_torikomi_no","kn_no","kn_nm","k_kn_nm","yubin_no","ad","tel","sei","birth_dt","ansho_no","torihiki_dt","kouza1_syo_zan","kouza1_zan","kouza1_seisan_flg","kouza2_syo_zan","kouza2_zan","kouza2_seisan_flg","kouza3_syo_zan","kouza3_zan","kouza3_seisan_flg","kouza4_syo_zan","kouza4_zan","kouza4_seisan_flg","kouza5_syo_zan","kouza5_zan","kouza5_seisan_flg","kouza6_syo_zan","kouza6_zan","kouza6_seisan_flg","kouza7_syo_zan","kouza7_zan","kouza7_seisan_flg","kouza8_syo_zan","kouza8_zan","kouza8_seisan_flg","kouza9_syo_zan","kouza9_zan","kouza9_seisan_flg","kouza10_syo_zan","kouza10_zan","kouza10_seisan_flg","kouza11_syo_zan","kouza11_zan","kouza11_seisan_flg","kouza12_syo_zan","kouza12_zan","kouza12_seisan_flg","kouza13_syo_zan","kouza13_zan","kouza13_seisan_flg","kouza14_syo_zan","kouza14_zan","kouza14_seisan_flg","kouza15_syo_zan","kouza15_zan","kouza15_seisan_flg","kouza16_syo_zan","kouza16_zan","kouza16_seisan_flg","kouza17_syo_zan","kouza17_zan","kouza17_seisan_flg","kouza18_syo_zan","kouza18_zan","kouza18_seisan_flg","kouza19_syo_zan","kouza19_zan","kouza19_seisan_flg","kouza20_syo_zan","kouza20_zan","kouza20_seisan_flg","jitai_flg","jitai_at","up_dt","nichu_tel","jk_jo_kbn","f","web_kn_no","operation_f","is_failed"
"01517","65693654","36723","Samuel Rohan","Reilly","04402-9491","63134 Harber Neck","497-668-1946 x8045","7","1969-06-28","9120","2023-11-20","9466","2088","","7881","7519","","9228","3530","","7058","8963","","954","9149","","2696","9250","","6455","3356","","3705","8272","","9280","6147","","9967","2836","","2258","406","","8190","5047","","6046","8657","","8743","1052","","7709","2355","","391","1071","","6484","5880","","3304","2310","","4354","5505","","2775","9174","","","","2024-08-27","","00","0","","1","false"
"01517","85224356","16803","Ervin Kirlin-Altenwerth","Abernathy","18497-0099","9935 Dallas Expressway","814-896-7582 x87013","3","1988-06-26","7886","2024-07-27","9231","2031","","9715","6144","","1180","5185","","0","3802","","5648","192","","4279","68","","8578","4094","","4704","4634","","2549","4199","","7839","2104","","5463","8851","","9682","142","","8766","1798","","6772","775","","7250","6118","","6984","7801","","4264","5762","","9003","5275","","5461","3217","","3424","5981","","","","2024-08-27","","00","0","","1","false"
"01517","97237403","83762","Rachel Conn-Reichel","Schneider","29406","48587 Makenzie Highway","549-874-6178","3","1969-08-31","5701","2024-03-03","8627","7856","","460","7005","","1170","382","","9873","2972","","6811","9954","","676","6148","","902","3275","","2937","7715","","1925","2109","","224","3810","","1551","2254","","4294","4647","","2649","8542","","9878","8712","","5090","504","","1040","3690","","9568","1271","","2987","5884","","484","1469","","5619","3075","","","","2024-08-27","","00","0","","1","false"
"01517","70868053","73759","Gerardo Torphy","Beatty","54965-2678","9492 Clotilde Tunnel","(434) 894-2996 x6726","8","1959-03-30","5813","2023-09-12","6396","4752","","1957","3769","","8748","2209","","9082","4243","","7250","994","","1878","594","","272","7560","","1193","149","","1540","8591","","1662","3419","","4542","5513","","7491","8245","","3850","5187","","1656","7818","","7905","4091","","7914","4812","","5110","624","","3573","5503","","6712","7808","","5894","1199","","","","2024-08-27","","00","0","","1","false"
"01517","46571143","71582","Ron Price","Harris","01354-2372","1414 Leonora Passage","223.334.2883","8","1967-08-07","9444","2023-10-03","9245","9674","","315","1882","","200","9227","","7664","2613","","5593","442","","2950","5980","","7427","9881","","686","1258","","932","8204","","6953","3625","","53","765","","7718","8273","","1210","1891","","330","7948","","978","2489","","7431","8139","","7701","5759","","9483","4610","","4488","5399","","6773","9159","","","","2024-08-27","","00","0","","1","false"
"01517","39136600","19067","Carlos Casper","Stehr","11655-7578","24246 Hickle Lodge","(494) 556-7774 x00928","4","1975-06-09","2633","2024-02-06","5646","4151","","6405","3252","","3624","3646","","9472","8629","","8997","4282","","7151","2724","","5617","6141","","7320","7107","","9316","9561","","9440","3659","","1553","6072","","7087","6979","","9730","3569","","9042","978","","4398","2932","","8968","8370","","786","6558","","1477","3282","","4120","2895","","8648","2057","","","","2024-08-27","","00","0","","1","false"
"01517","81219836","96312","Tasha Hessel","Koelpin-Ullrich","98303-2764","6712 Lang Branch","1-408-778-6910 x233","5","1955-01-13","8160","2023-12-03","8801","9943","","9312","7611","","5699","1711","","9034","5739","","310","9986","","21","7656","","2137","6113","","1939","5528","","47","4424","","8571","7542","","7169","7412","","7760","8908","","4546","4134","","9352","5877","","2452","663","","7971","2119","","5564","7051","","2790","3984","","2349","4586","","2872","2941","","","","2024-08-27","","00","0","","1","false"
"01517","81804407","13896","Krystal Christiansen","Hegmann","58330-1546","20181 Erdman Groves","1-797-983-9713 x01834","1","2005-09-20","2700","2024-08-24","4903","4749","","5820","9318","","4944","4089","","4472","2418","","3958","5602","","4697","3164","","9383","2698","","6756","6524","","7224","6239","","9810","5718","","2692","6103","","7278","3495","","887","9347","","3965","9098","","7521","5988","","590","3379","","5522","3308","","831","4411","","9848","1282","","2692","4410","","","","2024-08-28","","00","0","","1","false"
"01517","88411826","91186","Mr. Scott Jacobson","Parker","32762-6223","60514 Torphy Squares","1-420-492-2358 x708","8","1997-04-07","5279","2024-06-24","7912","4955","","8922","389","","7093","1100","","1648","9003","","7185","4107","","8888","7844","","1497","9779","","4273","1050","","1338","5076","","8817","8651","","187","8489","","2933","605","","4647","9812","","7496","22","","7138","2555","","2983","6411","","3645","3013","","3351","4764","","5601","3176","","86","8779","","","","2024-08-27","","00","0","","1","false"
"01517","91901350","64179","Miss Maxine Ward","Hackett","65879","2420 Lake Avenue","1-492-771-0664","9","1953-12-13","8370","2024-08-23","4083","7702","","2991","1568","","1626","6557","","9606","6275","","8977","8181","","5049","3196","","1100","2068","","6182","5669","","7300","1170","","1933","7754","","5055","8171","","8658","9298","","7667","9545","","5604","146","","7979","1524","","6670","3505","","1682","9165","","2833","6500","","8406","7719","","85","1757","","","","2024-08-27","","00","0","","1","false"
